flow_id,direction,src_asset_id,dst_asset_id,protocol,controlStrength,pExploit,attackCost_min,impactFactor,riskWeight,cve_count
F0033,dst_to_src,D_DMZ_10,C3_L3_07,MQTT,0.709533,0.419618,0.546681,0.6,0.251771,2
F0034,dst_to_src,D_DMZ_06,C3_L3_08,MQTTS,0.261168,0.851622,0.453748,1.0,0.851622,3
F0035,dst_to_src,D_DMZ_09,C3_L3_12,HTTPS,0.585749,0.565044,0.538812,0.8,0.452035,2
F0037,src_to_dst,C3_L3_01,C2_L2_05,SSH,0.261016,0.005627,0.691566,1.0,0.005627,3
F0038,src_to_dst,C3_L3_11,C2_L2_06,OPC_UA,0.259541,0.005637,0.690757,1.0,0.005637,3
F0045,src_to_dst,C3_L3_02,C2_L2_06,HTTPS,0.677382,0.002458,0.91991,1.0,0.002458,3
F0052,src_to_dst,C3_L3_01,C2_L2_06,OPC_UA,0.409771,0.004495,0.773147,1.0,0.004495,3
F0060,src_to_dst,C3_L3_01,C2_L2_05,SSH,0.261016,0.005627,0.691566,1.0,0.005627,3
F0061,dst_to_src,C2_L2_05,C1_L1_21,OPC_UA,0.547666,0.003444,0.848771,1.0,0.003444,3
F0062,dst_to_src,C2_L2_06,C1_L1_19,EtherNet/IP,0.436433,0.004291,0.787769,1.0,0.004291,3
F0064,dst_to_src,C2_L2_06,C1_L1_12,HTTPS,0.399648,0.004571,0.767595,1.0,0.004571,3
F0066,dst_to_src,C2_L2_05,C1_L1_17,HTTPS,0.53654,0.003529,0.842669,1.0,0.003529,3
F0067,src_to_dst,C2_L2_10,C1_L1_08,S7comm,0.776581,0.000321,0.903249,0.6,0.000193,2
F0068,dst_to_src,C2_L2_05,C1_L1_12,HTTPS,0.739626,0.001983,0.954046,1.0,0.001983,3
F0069,dst_to_src,C2_L2_05,C1_L1_15,HTTPS,0.722609,0.002112,0.944713,1.0,0.002112,3
F0074,dst_to_src,C2_L2_05,C1_L1_17,OPC_UA,0.675201,0.002474,0.918714,1.0,0.002474,3
F0077,dst_to_src,C2_L2_05,C1_L1_04,S7comm,0.21191,0.005999,0.664636,1.0,0.005999,3
F0082,src_to_dst,C2_L2_12,C1_L1_08,EtherNet/IP,0.616653,0.000552,0.821939,0.6,0.000331,2
F0083,src_to_dst,C2_L2_10,C1_L1_07,HTTPS,0.508396,0.000708,0.827235,1.0,0.000708,2
F0084,dst_to_src,C2_L2_06,C1_L1_01,HTTPS,0.332532,0.005082,0.730787,1.0,0.005082,3
F0084,src_to_dst,C2_L2_06,C1_L1_01,HTTPS,0.332532,0.000961,0.730787,1.0,0.000961,2
