flow_id,src_asset_id,dst_asset_id,protocol,controlStrength,pExploit,attackCost_min,impactFactor,riskWeight,cve_count
F0013,E_ENT_07,D_DMZ_12,HTTPS,0.580178,0.707989,0.473456,0.4,0.283195,3
F0013,E_ENT_07,D_DMZ_12,HTTPS,0.580178,0.57112,0.505316,0.6,0.342672,2
F0014,E_ENT_14,D_DMZ_06,RDP,0.580425,0.70772,0.505139,0.6,0.424632,3
F0014,E_ENT_14,D_DMZ_06,RDP,0.580425,0.570902,0.568612,1,0.570902,3
F0015,E_ENT_01,D_DMZ_10,HTTPS,0.770075,0.453907,0.636558,1,0.453907,3
F0015,E_ENT_01,D_DMZ_10,HTTPS,0.770075,0.341223,0.566042,0.6,0.204734,2
F0016,D_DMZ_10,C3_L3_07,OPC_UA,0.312218,0.815617,0.419626,0.6,0.48937,2
F0017,D_DMZ_09,C3_L3_05,MQTTS,0.202754,0.888589,0.408677,0.8,0.710871,2
F0018,D_DMZ_08,C3_L3_10,MQTT,0.709918,0.419182,0.615201,1,0.419182,3
F0019,D_DMZ_10,C3_L3_11,MQTT,0.487679,0.66609,0.475736,0.6,0.399654,2
F0020,D_DMZ_11,C3_L3_02,MQTTS,0.797172,0.304589,0.646594,1,0.304589,2
F0021,D_DMZ_06,C3_L3_04,HTTPS,0.756054,0.359848,0.6318,1,0.359848,3
F0022,D_DMZ_06,C3_L3_12,MQTTS,0.469348,0.683635,0.528648,1,0.683635,3
F0023,D_DMZ_05,C3_L3_12,MQTT,0.68335,0.452092,0.470974,0.2,0.090418,3
F0024,D_DMZ_04,C3_L3_10,MQTTS,0.687864,0.446517,0.573509,0.8,0.357213,2
F0025,D_DMZ_03,C3_L3_08,HTTPS,0.734115,0.388363,0.485178,0.2,0.077673,2
F0026,D_DMZ_12,C3_L3_06,OPC_UA,0.389779,0.754465,0.444429,0.6,0.452679,2
F0027,D_DMZ_03,C3_L3_07,HTTPS,0.602398,0.546646,0.448325,0.2,0.109329,2
F0028,D_DMZ_03,C3_L3_05,MQTT,0.566282,0.586098,0.438221,0.2,0.11722,2
F0029,D_DMZ_10,C3_L3_05,OPC_UA,0.612241,0.535599,0.515569,0.6,0.32136,2
F0030,D_DMZ_04,C3_L3_11,OPC_UA,0.421055,0.727589,0.482852,0.8,0.582072,2
F0031,D_DMZ_03,C3_L3_01,HTTPS,0.652876,0.488657,0.462448,0.2,0.097731,2
F0032,D_DMZ_07,C3_L3_03,HTTPS,0.499818,0.654311,0.479618,0.6,0.392586,3
F0033,D_DMZ_10,C3_L3_07,MQTT,0.709533,0.419618,0.546681,0.6,0.251771,2
F0034,D_DMZ_06,C3_L3_08,MQTTS,0.261168,0.851622,0.453748,1,0.851622,3
F0035,D_DMZ_09,C3_L3_12,HTTPS,0.585749,0.565044,0.538812,0.8,0.452035,2
F0037,C3_L3_01,C2_L2_05,SSH,0.261016,0.005627,0.691566,1,0.005627,3
F0038,C3_L3_11,C2_L2_06,OPC_UA,0.259541,0.005637,0.690757,1,0.005637,3
F0045,C3_L3_02,C2_L2_06,HTTPS,0.677382,0.002458,0.91991,1,0.002458,3
F0052,C3_L3_01,C2_L2_06,OPC_UA,0.409771,0.004495,0.773147,1,0.004495,3
F0060,C3_L3_01,C2_L2_05,SSH,0.261016,0.005627,0.691566,1,0.005627,3
F0061,C2_L2_05,C1_L1_21,OPC_UA,0.547666,0.003444,0.848771,1,0.003444,3
F0062,C2_L2_06,C1_L1_19,EtherNet/IP,0.436433,0.004291,0.787769,1,0.004291,3
F0064,C2_L2_06,C1_L1_12,HTTPS,0.399648,0.004571,0.767595,1,0.004571,3
F0066,C2_L2_05,C1_L1_17,HTTPS,0.53654,0.003529,0.842669,1,0.003529,3
F0067,C2_L2_10,C1_L1_08,S7comm,0.776581,0.000321,0.903249,0.6,0.000193,2
F0068,C2_L2_05,C1_L1_12,HTTPS,0.739626,0.001983,0.954046,1,0.001983,3
F0069,C2_L2_05,C1_L1_15,HTTPS,0.722609,0.002112,0.944713,1,0.002112,3
F0074,C2_L2_05,C1_L1_17,OPC_UA,0.675201,0.002474,0.918714,1,0.002474,3
F0077,C2_L2_05,C1_L1_04,S7comm,0.21191,0.005999,0.664636,1,0.005999,3
F0082,C2_L2_12,C1_L1_08,EtherNet/IP,0.616653,0.000552,0.821939,0.6,0.000331,2
F0083,C2_L2_10,C1_L1_07,HTTPS,0.508396,0.000708,0.827235,1,0.000708,2
F0084,C2_L2_06,C1_L1_01,HTTPS,0.332532,0.005082,0.730787,1,0.005082,3
F0084,C2_L2_06,C1_L1_01,HTTPS,0.332532,0.000961,0.730787,1,0.000961,2
F0036,C3_L3_02,C2_L2_08,OPC_UA,0.9889,0.6754,0.1116,1,0.5934,6
F0039,C3_L3_07,C2_L2_12,OPC_UA,0.8397,0.2011,0.584,1,0.0703,3
F0040,C3_L3_02,C2_L2_07,HTTPS,0.4695,0.6344,0.1351,1,0.2576,5
F0041,C3_L3_12,C2_L2_13,HTTPS,0.2098,0.6813,0.1024,1,0.1283,4
F0042,C3_L3_05,C2_L2_12,HTTPS,0.6701,0.2033,0.6147,1,0.0525,3
F0043,C3_L3_09,C2_L2_11,HTTPS,0.7297,0.3635,0.4168,1,0.1547,4
F0044,C3_L3_02,C2_L2_09,HTTPS,0.6689,0.1403,0.6846,1,0.0296,4
F0046,C3_L3_04,C2_L2_08,SSH,0.6906,0.7052,0.0868,1,0.4448,6
F0047,C3_L3_08,C2_L2_11,SSH,0.2015,0.4497,0.284,1,0.0649,3
F0048,C3_L3_06,C2_L2_14,SSH,0.2522,0.1108,0.8567,0.6,0.004,2
F0049,C3_L3_03,C2_L2_11,HTTPS,0.3433,0.6001,0.1531,0.6,0.1745,5
F0050,C3_L3_04,C2_L2_12,HTTPS,0.745,0.295,0.5403,0.6,0.101,3
F0051,C3_L3_06,C2_L2_01,SSH,0.5015,0.1433,0.6844,0.6,0.0227,2
F0053,C3_L3_11,C2_L2_15,HTTPS,0.9277,0.7528,0.0608,0.6,0.6559,5
F0054,C3_L3_11,C2_L2_03,HTTPS,0.6052,0.448,0.2813,0.6,0.1949,4
F0055,C3_L3_01,C2_L2_08,SSH,0.2368,0.2529,0.592,0.6,0.0244,2
F0056,C3_L3_09,C2_L2_04,SSH,0.2378,0.7685,0.0551,0.6,0.1727,5
F0057,C3_L3_03,C2_L2_04,HTTPS,0.6806,0.113,0.7723,0.6,0.0175,2
F0058,C3_L3_01,C2_L2_07,OPC_UA,0.9368,0.2602,0.5911,0.6,0.0997,4
F0059,C3_L3_12,C2_L2_07,OPC_UA,0.9485,0.442,0.3204,0.6,0.285,5
F0063,C2_L2_03,C1_L1_10,OPC_UA,0.6473,0.7095,0.0792,0.8,0.4228,5
F0065,C2_L2_12,C1_L1_05,OPC_UA,0.8149,0.0693,0.8209,0.8,0.0101,4
F0070,C2_L2_14,C1_L1_19,OPC_UA,0.379,0.3152,0.5101,0.8,0.0585,3
F0071,C2_L2_07,C1_L1_17,OPC_UA,0.9597,0.76,0.0559,0.8,0.6886,5
F0072,C2_L2_13,C1_L1_20,OPC_UA,0.962,0.6393,0.1231,0.8,0.5394,5
F0073,C2_L2_03,C1_L1_16,EtherNet/IP,0.5479,0.6023,0.1547,0.8,0.279,5
F0075,C2_L2_09,C1_L1_18,S7comm,0.6033,0.6986,0.0907,0.8,0.3832,4
F0076,C2_L2_01,C1_L1_02,EtherNet/IP,0.2368,0.856,0.0215,0.8,0.1983,5
F0078,C2_L2_12,C1_L1_18,OPC_UA,0.7671,0.3991,0.3927,0.8,0.1859,4
F0079,C2_L2_14,C1_L1_06,S7comm,0.7657,0.3647,0.4349,1,0.1578,4
F0080,C2_L2_09,C1_L1_12,S7comm,0.6474,0.6907,0.105,1,0.4002,4
F0081,C2_L2_08,C1_L1_02,OPC_UA,0.6149,0.4663,0.2639,1,0.2111,4
F0085,C2_L2_10,C1_L1_14,HTTPS,0.7751,0.2438,0.5744,1,0.0804,4
F0086,C2_L2_15,C1_L1_21,OPC_UA,0.2376,0.4034,0.3669,1,0.0607,3
F0087,C2_L2_11,C1_L1_09,HTTPS,0.7232,0.6492,0.1264,1,0.4101,5
F0088,C2_L2_04,C1_L1_09,S7comm,0.7031,0.2884,0.4682,1,0.1078,4
F0089,C2_L2_14,C1_L1_19,S7comm,0.6926,0.2096,0.66,1,0.0493,4
F0090,C2_L2_14,C1_L1_16,EtherNet/IP,0.6986,0.0643,0.8433,1,0.007,3
F0091,C1_L1_15,P0_L0_02,EtherNet/IP,0.8595,0.6241,0.1542,1,0.4537,4
F0092,C1_L1_09,P0_L0_09,EtherNet/IP,0.7388,0.8548,0.0204,1,0.6187,6
F0093,C1_L1_09,P0_L0_05,EtherNet/IP,0.7787,0.67,0.1048,1,0.467,4
F0094,C1_L1_19,P0_L0_03,ModbusTCP,0.8074,0.5198,0.2155,1,0.3293,6
F0095,C1_L1_14,P0_L0_16,ModbusTCP,0.7015,0.8689,0.0187,1,0.5982,5
F0096,C1_L1_02,P0_L0_07,ModbusTCP,0.2818,0.2316,0.5352,1,0.0303,2
F0097,C1_L1_15,P0_L0_13,EtherNet/IP,0.862,0.7369,0.0699,1,0.5909,7
F0098,C1_L1_09,P0_L0_13,ModbusTCP,0.2196,0.7103,0.079,0.4,0.1436,3
F0099,C1_L1_19,P0_L0_11,EtherNet/IP,0.6686,0.78,0.0461,0.4,0.4975,6
F0100,C1_L1_06,P0_L0_09,EtherNet/IP,0.736,0.4247,0.3592,0.4,0.2003,4
F0101,C1_L1_09,P0_L0_08,EtherNet/IP,0.3084,0.4323,0.3338,0.4,0.0888,2
F0102,C1_L1_10,P0_L0_07,EtherNet/IP,0.4378,0.8857,0.013,0.4,0.3827,5
F0103,C1_L1_02,P0_L0_12,EtherNet/IP,0.9219,0.1455,0.7712,1,0.0307,3
F0104,C1_L1_17,P0_L0_01,ModbusTCP,0.2176,0.4135,0.3533,1,0.0582,3
F0105,C1_L1_12,P0_L0_02,ModbusTCP,0.8395,0.519,0.252,0.2,0.3259,6
F0106,C1_L1_17,P0_L0_01,ModbusTCP,0.8804,0.6556,0.1258,1,0.5046,5
F0107,C1_L1_13,P0_L0_05,EtherNet/IP,0.3656,0.8289,0.0294,1,0.2942,5
F0108,C1_L1_10,P0_L0_11,EtherNet/IP,0.8554,0.4813,0.28,1,0.2964,4
F0109,C1_L1_21,P0_L0_01,EtherNet/IP,0.7251,0.1015,0.84,1,0.0118,3
F0110,C1_L1_15,P0_L0_16,ModbusTCP,0.592,0.7366,0.0664,1,0.4072,4
F0111,C1_L1_12,P0_L0_11,ModbusTCP,0.2474,0.5703,0.202,1,0.1126,4
F0112,C1_L1_19,P0_L0_05,EtherNet/IP,0.6901,0.7091,0.0816,1,0.4494,5
F0113,C1_L1_05,P0_L0_07,EtherNet/IP,0.8069,0.6052,0.1569,0.2,0.4117,5
F0114,C1_L1_10,P0_L0_10,EtherNet/IP,0.7891,0.4017,0.3484,0.4,0.2065,4
F0115,C1_L1_15,P0_L0_15,ModbusTCP,0.5672,0.5428,0.2153,1,0.2416,4
F0116,C1_L1_10,P0_L0_09,ModbusTCP,0.2418,0.4698,0.2995,1,0.0796,3
F0117,C1_L1_04,P0_L0_17,ModbusTCP,0.9599,0.7874,0.0482,1,0.7194,6
F0118,C1_L1_21,P0_L0_05,ModbusTCP,0.9457,0.3323,0.4463,1,0.174,3
F0119,C1_L1_06,P0_L0_09,ModbusTCP,0.8694,0.55,0.1858,0.8,0.3893,5
F0120,C1_L1_12,P0_L0_02,ModbusTCP,0.3643,0.5567,0.1806,1,0.1662,3
